time,pm2_5,pm10,nitrogen_dioxide,ozone
2026-08-15 19:00:00,11.3,15.8,18.2,48.0
2026-08-15 20:00:00,11.0,15.1,21.5,41.0
2026-08-15 21:00:00,10.2,13.8,20.7,38.0
2026-08-15 22:00:00,9.7,13.1,17.7,37.0
2026-08-15 23:00:00,8.5,11.5,14.8,37.0
2026-08-16 00:00:00,7.1,9.7,12.5,37.0
2026-08-16 01:00:00,6.0,8.3,10.2,37.0
2026-08-16 02:00:00,5.2,7.5,8.4,37.0
2026-08-16 03:00:00,4.7,7.0,7.4,37.0
2026-08-16 04:00:00,4.4,6.8,7.0,36.0
2026-08-16 05:00:00,3.9,5.6,7.2,36.0
2026-08-16 06:00:00,3.8,5.4,7.0,37.0
2026-08-16 07:00:00,4.2,6.2,6.8,38.0
2026-08-16 08:00:00,4.5,7.1,6.2,41.0
2026-08-16 09:00:00,4.9,8.5,5.0,48.0
2026-08-16 10:00:00,5.4,10.0,3.6,57.0
2026-08-16 11:00:00,5.9,11.0,2.5,65.0
2026-08-16 12:00:00,5.6,10.7,2.0,70.0
2026-08-16 13:00:00,5.3,9.9,1.8,72.0
2026-08-16 14:00:00,5.0,9.0,2.2,73.0
2026-08-16 15:00:00,5.0,8.8,3.2,71.0
2026-08-16 16:00:00,6.3,10.8,4.7,66.0
2026-08-16 17:00:00,9.5,17.8,7.6,60.0
2026-08-16 18:00:00,11.9,19.8,11.1,54.0
2026-08-16 19:00:00,14.2,21.8,15.8,45.0
2026-08-16 20:00:00,14.8,21.8,18.5,39.0
2026-08-16 21:00:00,13.9,20.3,17.3,38.0
2026-08-16 22:00:00,12.8,18.6,14.2,40.0
2026-08-16 23:00:00,11.1,16.2,11.4,41.0
2026-08-17 00:00:00,9.1,13.6,9.8,41.0
2026-08-17 01:00:00,7.8,11.8,8.5,40.0
2026-08-17 02:00:00,6.8,10.3,7.5,39.0
2026-08-17 03:00:00,5.9,8.9,6.8,38.0
2026-08-17 04:00:00,5.2,7.7,6.4,37.0
2026-08-17 05:00:00,5.4,8.7,6.2,38.0
2026-08-17 06:00:00,4.9,7.5,7.5,37.0
2026-08-17 07:00:00,5.0,8.1,9.1,35.0
2026-08-17 08:00:00,6.2,10.0,9.7,37.0
2026-08-17 09:00:00,6.8,12.6,8.2,45.0
2026-08-17 10:00:00,8.3,18.1,5.6,56.0
2026-08-17 11:00:00,9.4,21.2,3.7,65.0
2026-08-17 12:00:00,9.7,21.7,2.9,71.0
2026-08-17 13:00:00,9.2,19.6,2.9,76.0
2026-08-17 14:00:00,8.7,17.3,3.9,77.0
2026-08-17 15:00:00,8.8,17.1,6.6,74.0
2026-08-17 16:00:00,8.7,16.8,10.3,68.0
2026-08-17 17:00:00,10.3,18.3,14.0,59.0
2026-08-17 18:00:00,11.5,18.2,17.4,53.0
2026-08-17 19:00:00,12.7,18.6,21.8,44.0
2026-08-17 20:00:00,13.3,18.7,24.3,37.0
2026-08-17 21:00:00,12.3,16.9,22.9,35.0
2026-08-17 22:00:00,10.9,14.5,19.4,36.0
2026-08-17 23:00:00,9.1,12.0,16.2,36.0
2026-08-18 00:00:00,7.5,10.2,14.1,36.0
2026-08-18 01:00:00,6.9,9.9,12.2,36.0
2026-08-18 02:00:00,6.8,10.5,10.9,35.0
2026-08-18 03:00:00,7.1,11.8,10.3,33.0
2026-08-18 04:00:00,7.6,13.2,10.2,32.0
2026-08-18 05:00:00,7.6,14.1,8.9,33.0
2026-08-18 06:00:00,7.8,14.1,9.1,33.0
2026-08-18 07:00:00,8.3,14.2,9.2,34.0
2026-08-18 08:00:00,7.1,12.2,8.8,37.0
2026-08-18 09:00:00,7.3,12.0,7.2,45.0
2026-08-18 10:00:00,6.9,12.7,5.0,56.0
2026-08-18 11:00:00,7.2,13.1,3.4,65.0
2026-08-18 12:00:00,8.0,14.8,2.5,72.0
2026-08-18 13:00:00,8.4,15.9,2.3,77.0
2026-08-18 14:00:00,8.6,16.9,3.1,78.0
2026-08-18 15:00:00,9.5,19.9,5.5,74.0
2026-08-18 16:00:00,9.7,18.3,9.0,65.0
2026-08-18 17:00:00,13.4,22.5,19.1,50.0
2026-08-18 18:00:00,15.7,22.8,22.4,45.0
2026-08-18 19:00:00,15.4,21.4,26.8,38.0
2026-08-18 20:00:00,14.6,19.9,29.1,33.0
2026-08-18 21:00:00,13.5,18.0,27.7,32.0
2026-08-18 22:00:00,12.5,16.3,24.3,32.0
2026-08-18 23:00:00,11.1,14.6,20.8,32.0
2026-08-19 00:00:00,9.2,12.2,17.4,31.0
2026-08-19 01:00:00,7.7,10.3,13.9,31.0
2026-08-19 02:00:00,6.6,8.8,11.2,30.0
2026-08-19 03:00:00,5.7,7.5,9.9,29.0
2026-08-19 04:00:00,5.2,6.8,9.4,27.0
2026-08-19 05:00:00,4.5,6.1,8.5,27.0
2026-08-19 06:00:00,4.8,6.7,8.6,27.0
2026-08-19 07:00:00,5.8,8.5,8.7,28.0
2026-08-19 08:00:00,5.9,9.4,8.3,32.0
2026-08-19 09:00:00,5.8,10.0,6.9,41.0
2026-08-19 10:00:00,5.7,9.6,5.0,53.0
2026-08-19 11:00:00,5.4,9.4,3.6,62.0
2026-08-19 12:00:00,5.7,10.6,2.5,68.0
2026-08-19 13:00:00,6.5,13.3,1.9,71.0
2026-08-19 14:00:00,7.6,16.2,3.3,70.0
2026-08-19 15:00:00,8.6,18.5,8.3,62.0
2026-08-19 16:00:00,9.0,16.5,15.3,49.0
2026-08-19 17:00:00,10.7,16.6,20.6,39.0
2026-08-19 18:00:00,11.5,16.8,22.8,33.0
2026-08-19 19:00:00,12.5,17.9,23.3,30.0
2026-08-19 20:00:00,11.4,16.2,22.7,28.0
2026-08-19 21:00:00,10.1,14.1,20.6,27.0
2026-08-19 22:00:00,8.8,12.0,17.4,28.0
2026-08-19 23:00:00,7.3,9.6,14.4,28.0
2026-08-20 00:00:00,5.7,7.6,11.8,28.0
2026-08-20 01:00:00,4.6,6.3,9.4,29.0
2026-08-20 02:00:00,4.2,6.0,7.6,29.0
2026-08-20 03:00:00,3.8,5.5,6.6,29.0
2026-08-20 04:00:00,3.3,4.7,6.2,29.0
2026-08-20 05:00:00,3.1,4.4,6.0,29.0
2026-08-20 06:00:00,3.3,4.6,6.2,29.0
2026-08-20 07:00:00,3.6,5.3,6.8,30.0
2026-08-20 08:00:00,4.4,7.3,6.9,33.0
2026-08-20 09:00:00,5.3,8.8,6.2,39.0
2026-08-20 10:00:00,5.9,10.7,5.1,46.0
2026-08-20 11:00:00,5.9,11.6,4.3,53.0
2026-08-20 12:00:00,6.2,13.0,3.7,59.0
2026-08-20 13:00:00,6.3,13.8,3.4,64.0
2026-08-20 14:00:00,6.7,14.5,4.1,66.0
2026-08-20 15:00:00,7.0,13.9,6.4,64.0
2026-08-20 16:00:00,8.0,14.5,9.8,59.0
2026-08-20 17:00:00,9.6,17.4,12.8,54.0
2026-08-20 18:00:00,10.2,15.7,15.4,48.0
2026-08-20 19:00:00,11.0,16.5,17.7,42.0
2026-08-20 20:00:00,10.3,14.5,18.7,37.0
2026-08-20 21:00:00,9.3,12.5,17.8,34.0
2026-08-20 22:00:00,8.7,11.5,15.7,33.0
2026-08-20 23:00:00,7.7,10.0,13.5,32.0
2026-08-21 00:00:00,6.5,8.6,11.6,31.0
2026-08-21 01:00:00,6.2,8.6,9.7,31.0
2026-08-21 02:00:00,5.6,7.5,8.2,31.0
2026-08-21 03:00:00,4.9,6.4,7.3,30.0
2026-08-21 04:00:00,4.3,5.7,6.9,30.0
2026-08-21 05:00:00,3.9,5.1,6.6,30.0
2026-08-21 06:00:00,3.8,5.0,6.6,30.0
2026-08-21 07:00:00,4.2,6.0,6.9,32.0
2026-08-21 08:00:00,5.0,7.7,6.7,35.0
2026-08-21 09:00:00,5.6,8.4,5.7,42.0
2026-08-21 10:00:00,6.4,10.2,4.3,52.0
2026-08-21 11:00:00,7.2,12.6,3.3,60.0
2026-08-21 12:00:00,8.6,17.2,2.7,67.0
2026-08-21 13:00:00,9.5,19.3,2.4,74.0
2026-08-21 14:00:00,9.7,19.6,2.9,77.0
2026-08-21 15:00:00,9.9,19.7,4.4,76.0
2026-08-21 16:00:00,9.6,18.0,6.7,72.0
2026-08-21 17:00:00,9.3,15.4,8.9,67.0
2026-08-21 18:00:00,10.3,15.2,11.3,62.0
2026-08-21 19:00:00,10.7,14.5,13.7,56.0
2026-08-21 20:00:00,10.3,13.6,15.0,51.0
2026-08-21 21:00:00,9.8,12.9,14.6,47.0
2026-08-21 22:00:00,9.2,12.0,13.2,43.0
2026-08-21 23:00:00,7.1,9.1,11.7,40.0
2026-08-22 00:00:00,5.6,7.1,10.2,38.0
2026-08-22 01:00:00,4.7,5.9,8.5,37.0
2026-08-22 02:00:00,4.1,5.4,7.2,36.0
2026-08-22 03:00:00,3.9,5.2,6.5,36.0
2026-08-22 04:00:00,3.7,4.9,6.3,36.0
2026-08-22 05:00:00,3.4,4.5,6.2,36.0
2026-08-22 06:00:00,3.2,4.1,6.5,36.0
2026-08-22 07:00:00,3.6,4.5,7.0,37.0
2026-08-22 08:00:00,3.7,5.0,7.1,39.0
2026-08-22 09:00:00,4.0,6.0,6.3,44.0
2026-08-22 10:00:00,4.6,7.1,5.1,51.0
2026-08-22 11:00:00,5.2,8.5,4.1,58.0
2026-08-22 12:00:00,5.6,9.7,3.1,66.0
2026-08-22 13:00:00,6.1,10.8,2.3,74.0
2026-08-22 14:00:00,6.3,10.9,2.8,78.0
2026-08-22 15:00:00,6.2,10.5,5.8,74.0
2026-08-22 16:00:00,6.4,10.8,10.2,67.0
2026-08-22 17:00:00,7.7,11.0,13.8,59.0
2026-08-22 18:00:00,8.4,11.3,16.2,53.0
2026-08-22 19:00:00,8.6,10.8,17.8,48.0
2026-08-22 20:00:00,7.7,9.4,18.2,43.0
2026-08-22 21:00:00,6.7,8.1,16.7,40.0
2026-08-22 22:00:00,5.3,6.3,13.9,38.0
2026-08-22 23:00:00,4.4,5.1,11.3,36.0
2026-08-23 00:00:00,3.4,4.0,9.3,35.0
2026-08-23 01:00:00,3.3,4.5,7.4,35.0
2026-08-23 02:00:00,2.7,3.5,6.0,35.0
2026-08-23 03:00:00,2.6,3.4,5.3,35.0
2026-08-23 04:00:00,2.5,3.5,5.2,35.0
2026-08-23 05:00:00,2.5,3.5,5.1,35.0
2026-08-23 06:00:00,3.0,4.2,5.1,36.0
2026-08-23 07:00:00,3.2,4.8,5.3,37.0
2026-08-23 08:00:00,3.6,5.3,5.1,40.0
2026-08-23 09:00:00,5.0,9.2,4.2,46.0
2026-08-23 10:00:00,5.3,8.6,3.1,54.0
2026-08-23 11:00:00,5.7,9.8,2.2,60.0
2026-08-23 12:00:00,5.3,9.4,1.6,65.0
2026-08-23 13:00:00,5.6,10.5,1.4,68.0
2026-08-23 14:00:00,5.5,10.4,2.0,68.0
2026-08-23 15:00:00,5.7,11.0,4.3,64.0
2026-08-23 16:00:00,7.1,12.6,7.5,56.0
2026-08-23 17:00:00,7.2,10.5,9.9,50.0
2026-08-23 18:00:00,6.5,9.0,10.9,47.0
2026-08-23 19:00:00,6.7,8.6,11.1,44.0
2026-08-23 20:00:00,6.0,7.6,10.9,42.0
2026-08-23 21:00:00,5.3,6.4,10.2,39.0
2026-08-23 22:00:00,4.7,5.5,9.2,37.0
2026-08-23 23:00:00,3.9,4.7,8.1,35.0
